"Story","Title","Result","Date","Stability","Duration (s)"
"Issue photo ID attestation (same device)","User selects to issue a photo ID","SUCCESS","2024-10-08T14:28:45.699077+03:00[Europe/Athens]","0.0","6.71"
"Issue photo ID attestation (same device)","User proceeds with the credential issuance","SUCCESS","2024-10-08T14:28:52.420683+03:00[Europe/Athens]","0.0","6.59"
"Issue photo ID attestation (same device)","User authenticates and consents to the issuance","SUCCESS","2024-10-08T14:28:59.025141+03:00[Europe/Athens]","0.0","6.69"
"Issue photo ID attestation (same device)","User views the issued identity in the EUDI Wallet","SUCCESS","2024-10-08T14:29:05.725975+03:00[Europe/Athens]","0.0","6.6"
"Issue photo ID attestation (same device)","User selects to issue a photo ID","SUCCESS","2024-10-08T15:12:51.677429+03:00[Europe/Athens]","0.0","6.64"
"Issue photo ID attestation (same device)","User proceeds with the credential issuance","SUCCESS","2024-10-08T15:12:58.327561+03:00[Europe/Athens]","0.0","6.65"
"Issue photo ID attestation (same device)","User authenticates and consents to the issuance","SUCCESS","2024-10-08T15:13:04.993718+03:00[Europe/Athens]","0.0","6.61"
"Issue photo ID attestation (same device)","User views the issued identity in the EUDI Wallet","SUCCESS","2024-10-08T15:13:11.615018+03:00[Europe/Athens]","0.0","6.72"
