"Story","Title","Result","Date","Stability","Duration (s)"
"EUDI Wallet Booking Reservation Presentation","Successful Authentication","SUCCESS","2024-10-08T14:29:58.927552+03:00[Europe/Athens]","0.0","6.62"
"EUDI Wallet Booking Reservation Presentation","Display QR code","SUCCESS","2024-10-08T14:30:05.553872+03:00[Europe/Athens]","0.0","6.67"
"EUDI Wallet Booking Reservation Presentation","Inform user of attestation request after QR code scan","SUCCESS","2024-10-08T14:30:12.235375+03:00[Europe/Athens]","0.0","6.55"
"EUDI Wallet Booking Reservation Presentation","Display PIN after credential consent","SUCCESS","2024-10-08T14:30:18.799305+03:00[Europe/Athens]","0.0","6.68"
"EUDI Wallet Booking Reservation Presentation","Display success message and attestation to Relying Party","SUCCESS","2024-10-08T14:30:25.494787+03:00[Europe/Athens]","0.0","6.61"
