"Story","Title","Result","Date","Stability","Duration (s)"
"Deferred Issuing","User issues a credential to the wallet app","SUCCESS","2024-10-08T14:34:44.980467+03:00[Europe/Athens]","0.0","6.68"
"Deferred Issuing","User proceeds with credential issuance","SUCCESS","2024-10-08T14:34:51.67416+03:00[Europe/Athens]","0.0","6.65"
"Deferred Issuing","User authenticates and consents to issuance","SUCCESS","2024-10-08T14:34:58.34102+03:00[Europe/Athens]","0.0","6.61"
"Deferred Issuing","User acknowledges issuance progress","SUCCESS","2024-10-08T14:35:04.956799+03:00[Europe/Athens]","0.0","6.62"
"Deferred Issuing","Wallet app polls issuer and receives credential","SUCCESS","2024-10-08T14:35:11.589101+03:00[Europe/Athens]","0.0","6.62"
"Deferred Issuing","User views and adds issued document","SUCCESS","2024-10-08T14:35:18.223845+03:00[Europe/Athens]","0.0","6.64"
"Credential Issuance Cancellation","User initiates credential issuance","SUCCESS","2024-10-08T14:35:24.874227+03:00[Europe/Athens]","0.0","6.61"
"Credential Issuance Cancellation","User cancels the issuance process","SUCCESS","2024-10-08T14:35:31.492319+03:00[Europe/Athens]","0.0","6.51"
"Credential Issuance Cancellation","User confirms cancellation","SUCCESS","2024-10-08T14:35:38.011168+03:00[Europe/Athens]","0.0","6.68"
