"Story","Title","Result","Date","Stability","Duration (s)"
"Issue photo ID attestation (cross device)","QR Code generation for Photo ID Attestation","SUCCESS","2024-10-08T14:27:52.461211+03:00[Europe/Athens]","0.0","6.65"
"Issue photo ID attestation (cross device)","Opening the EUDI Wallet and viewing the dashboard","SUCCESS","2024-10-08T14:27:59.124296+03:00[Europe/Athens]","0.0","6.62"
"Issue photo ID attestation (cross device)","Navigating to the 'Add document' page","SUCCESS","2024-10-08T14:28:05.758761+03:00[Europe/Athens]","0.0","6.63"
"Issue photo ID attestation (cross device)","Initiating the QR code scanning for document addition","SUCCESS","2024-10-08T14:28:12.401903+03:00[Europe/Athens]","0.0","6.74"
"Issue photo ID attestation (cross device)","Scanning the QR code and viewing credential details","SUCCESS","2024-10-08T14:28:19.151897+03:00[Europe/Athens]","0.0","6.65"
"Issue photo ID attestation (cross device)","Issuing the new document via QR code","SUCCESS","2024-10-08T14:28:25.816155+03:00[Europe/Athens]","0.0","6.56"
"Issue photo ID attestation (cross device)","Completing the issuance process and viewing the success message","SUCCESS","2024-10-08T14:28:32.390956+03:00[Europe/Athens]","0.0","6.64"
"Issue photo ID attestation (cross device)","Viewing the newly added document on the dashboard","SUCCESS","2024-10-08T14:28:39.043629+03:00[Europe/Athens]","0.0","6.64"
