"Story","Title","Result","Date","Stability","Duration (s)"
"Issue photo ID attestation","Log in successfully","SUCCESS","2024-10-08T14:27:25.980454+03:00[Europe/Athens]","0.0","6.62"
"Issue photo ID attestation","Add photo ID","SUCCESS","2024-10-08T14:27:32.61205+03:00[Europe/Athens]","0.0","6.58"
"Issue photo ID attestation","Select authentication method and enter data","SUCCESS","2024-10-08T14:27:39.209143+03:00[Europe/Athens]","0.0","6.59"
"Issue photo ID attestation","Register personal data and view photo ID","SUCCESS","2024-10-08T14:27:45.812886+03:00[Europe/Athens]","0.0","6.63"
