"Story","Title","Result","Date","Stability","Duration (s)"
"Credential Issuance Cancellation","User initiates credential issuance","SUCCESS","2024-10-08T14:35:24.874227+03:00[Europe/Athens]","0.0","6.61"
"Credential Issuance Cancellation","User cancels the issuance process","SUCCESS","2024-10-08T14:35:31.492319+03:00[Europe/Athens]","0.0","6.51"
"Credential Issuance Cancellation","User confirms cancellation","SUCCESS","2024-10-08T14:35:38.011168+03:00[Europe/Athens]","0.0","6.68"
"Credential Issuance Cancellation","User initiates credential issuance","SUCCESS","2024-10-08T15:18:52.62735+03:00[Europe/Athens]","0.0","6.69"
"Credential Issuance Cancellation","User cancels the issuance process","SUCCESS","2024-10-08T15:18:59.327897+03:00[Europe/Athens]","0.0","6.32"
"Credential Issuance Cancellation","User confirms cancellation","SUCCESS","2024-10-08T15:19:05.660253+03:00[Europe/Athens]","0.0","6.36"
